ticker,year,month,avg_monthly_close
AAPL,2023,2,151.06
GOOG,2023,2,94.7
MSFT,2023,2,260.12
NFLX,2023,2,345.11
AAPL,2023,3,154.96
GOOG,2023,3,98.56
MSFT,2023,3,266.74
NFLX,2023,3,312.6
AAPL,2023,4,165.05
GOOG,2023,4,106.35
MSFT,2023,4,288.64
NFLX,2023,4,333.74
AAPL,2023,5,168.99
GOOG,2023,5,106.25
MSFT,2023,5,306.29
NFLX,2023,5,320.9
