ticker,date,daily_volatility
NFLX,2023-03-31,8.639984130859375
AAPL,2023-03-31,3.089996337890625
MSFT,2023-03-31,6.269989013671875
GOOG,2023-03-31,2.75
NFLX,2023-04-03,8.17999267578125
MSFT,2023-04-03,4.319976806640625
AAPL,2023-04-03,2.0699920654296875
GOOG,2023-04-03,2.569999694824247
AAPL,2023-04-04,1.7299957275390625
GOOG,2023-04-04,1.5
NFLX,2023-04-04,5.8499755859375
MSFT,2023-04-04,4.779998779296875
GOOG,2023-04-05,2.4380035400390625
MSFT,2023-04-05,4.22998046875
AAPL,2023-04-05,3.25
NFLX,2023-04-05,9.17999267578125
MSFT,2023-04-06,10.04998779296875
GOOG,2023-04-06,4.814994812011719
AAPL,2023-04-06,2.9600067138671875
NFLX,2023-04-06,7.850006103515625
MSFT,2023-04-10,4.8900146484375
AAPL,2023-04-10,1.9499969482421875
GOOG,2023-04-10,2.3700027465820312
NFLX,2023-04-10,6.52001953125
MSFT,2023-04-11,4.339996337890625
GOOG,2023-04-11,1.94000244140625
AAPL,2023-04-11,1.850006103515625
NFLX,2023-04-11,9.5
GOOG,2023-04-12,2.6169967651367188
MSFT,2023-04-12,5.050018310546875
AAPL,2023-04-12,2.279998779296875
NFLX,2023-04-12,12.759979248046875
GOOG,2023-04-13,1.8249969482422017
MSFT,2023-04-13,6.72998046875
AAPL,2023-04-13,4.3800048828125
NFLX,2023-04-13,7.67999267578125
NFLX,2023-04-14,8.44000244140625
GOOG,2023-04-14,1.9900054931640483
MSFT,2023-04-14,4.790008544921875
AAPL,2023-04-14,2.5
GOOG,2023-04-17,1.3899993896484375
MSFT,2023-04-17,5.44000244140625
AAPL,2023-04-17,1.3600006103515625
NFLX,2023-04-17,10.8900146484375
MSFT,2023-04-18,4.75
AAPL,2023-04-18,1.760009765625
GOOG,2023-04-18,2.2700042724609233
NFLX,2023-04-18,6.69000244140625
GOOG,2023-04-19,1.9249954223632955
MSFT,2023-04-19,4.509979248046875
AAPL,2023-04-19,2.6200103759765625
NFLX,2023-04-19,9.649993896484375
MSFT,2023-04-20,3.95001220703125
NFLX,2023-04-20,13.100006103515625
AAPL,2023-04-20,2.30999755859375
GOOG,2023-04-20,2.2480010986327983
NFLX,2023-04-21,8.790008544921875
AAPL,2023-04-21,1.959991455078125
MSFT,2023-04-21,3.209991455078182
GOOG,2023-04-21,1.154998779296875
NFLX,2023-04-24,7.910003662109375
MSFT,2023-04-24,6.230010986328125
AAPL,2023-04-24,1.7100067138671875
GOOG,2023-04-24,1.9599990844726562
NFLX,2023-04-25,7.55999755859375
MSFT,2023-04-25,6.230010986328125
AAPL,2023-04-25,2.5800018310546875
GOOG,2023-04-25,2.8800048828124716
MSFT,2023-04-26,6.839996337890625
AAPL,2023-04-26,2.4799957275390625
GOOG,2023-04-26,3.75
NFLX,2023-04-26,5.42999267578125
NFLX,2023-04-27,10.010009765625
MSFT,2023-04-27,9.95001220703125
AAPL,2023-04-27,3.3699951171875
GOOG,2023-04-27,4.7300033569335795
MSFT,2023-04-28,5.619995117187557
AAPL,2023-04-28,1.970001220703125
GOOG,2023-04-28,2.25
NFLX,2023-04-28,6.809997558593693
GOOG,2023-05-01,1.1800003051757812
AAPL,2023-05-01,1.80999755859375
MSFT,2023-05-01,3.45001220703125
NFLX,2023-05-01,13.1400146484375
GOOG,2023-05-02,3.2300033569335938
MSFT,2023-05-02,5.269989013671875
AAPL,2023-05-02,2.8100128173828125
NFLX,2023-05-02,10.45001220703125
GOOG,2023-05-03,2.509994506835909
AAPL,2023-05-03,3.7599945068359375
MSFT,2023-05-03,4.519989013671875
NFLX,2023-05-03,8.769989013671875
MSFT,2023-05-04,4.360015869140625
AAPL,2023-05-04,2.7299957275390625
GOOG,2023-05-04,1.6000061035155966
NFLX,2023-05-04,5.65997314453125
GOOG,2023-05-05,1.7010040283202983
AAPL,2023-05-05,3.540008544921875
MSFT,2023-05-05,7.70001220703125
NFLX,2023-05-05,4.709991455078125
